Date,Adj Close,Close,High,Low,Open,Volume
2024-02-05,142.60255432128906,143.67999267578125,145.47000122070312,142.77999877929688,142.82000732421875,38505400
2024-02-06,143.01937866210938,144.10000610351562,145.36000061035156,143.19000244140625,144.64999389648438,29128200
2024-02-07,144.44859313964844,145.5399932861328,145.6199951171875,143.92999267578125,144.75999450683594,25208900
2024-02-08,144.81582641601562,145.91000366210938,146.3300018310547,145.10000610351562,145.8300018310547,22563800
2024-02-09,147.88262939453125,149.0,149.44000244140625,146.17999267578125,146.67999267578125,26829500
2024-02-12,146.42367553710938,147.52999877929688,149.33999633789062,147.3699951171875,148.4199981689453,21564100
2024-02-13,144.05157470703125,145.13999938964844,146.6699981689453,143.69000244140625,144.9199981689453,27837700
2024-02-14,144.84559631347656,145.94000244140625,146.52000427246094,144.08999633789062,146.0800018310547,22704200
2024-02-15,141.69937133789062,142.77000427246094,143.52000427246094,140.4600067138672,143.13999938964844,37590700
2024-02-16,139.46624755859375,140.52000427246094,143.19000244140625,140.13999938964844,142.99000549316406,31468900
2024-02-20,140.0617218017578,141.1199951171875,142.0800018310547,139.49000549316406,139.66000366210938,25144700
2024-02-21,141.4810028076172,142.5500030517578,142.69000244140625,140.67999267578125,141.4499969482422,23223300
2024-02-22,143.00946044921875,144.08999633789062,145.0,142.8000030517578,144.92999267578125,27191900
2024-02-23,142.88043212890625,143.9600067138672,144.67999267578125,143.42999267578125,143.6699981689453,19493800
2024-02-26,136.53836059570312,137.57000732421875,142.44000244140625,137.38999938964844,142.13999938964844,53641800
2024-02-27,137.8385467529297,138.8800048828125,139.25,137.08999633789062,138.02000427246094,33099200
2024-02-28,135.3572998046875,136.3800048828125,138.00999450683594,135.41000366210938,137.89999389648438,37328600
2024-02-29,137.4216766357422,138.4600067138672,138.86000061035156,136.39999389648438,137.27999877929688,42133000
2024-03-01,136.111572265625,137.13999938964844,138.8699951171875,136.9199981689453,138.42999267578125,31151100
2024-03-04,132.35000610351562,133.35000610351562,135.66000366210938,131.91000366210938,135.66000366210938,55999400
2024-03-05,131.67510986328125,132.6699981689453,133.24000549316406,130.6699981689453,131.8800048828125,40194800
2024-03-06,130.41461181640625,131.39999389648438,133.5800018310547,130.85000610351562,133.1199951171875,35318600
2024-03-07,133.3722686767578,134.3800048828125,134.94000244140625,131.61000061035156,132.7899932861328,37738200
2024-03-08,134.39454650878906,135.41000366210938,138.08999633789062,134.0,134.2100067138672,39370400
2024-03-11,136.63760375976562,137.6699981689453,139.10000610351562,136.1300048828125,136.1300048828125,32437800
2024-03-12,137.4613800048828,138.5,139.3800048828125,137.02999877929688,137.02999877929688,27563400
2024-03-13,138.74172973632812,139.7899932861328,141.08999633789062,138.99000549316406,139.0,23347200
2024-03-14,142.0269012451172,143.10000610351562,143.58999633789062,140.4600067138672,141.19000244140625,42753400
2024-03-15,140.1212921142578,141.17999267578125,143.17999267578125,140.02999877929688,142.5,49475400
2024-03-18,146.5725555419922,147.67999267578125,152.14999389648438,147.1699981689453,148.61000061035156,69273700
2024-03-19,145.9274139404297,147.02999877929688,148.7899932861328,146.0800018310547,148.16000366210938,24070400
2024-03-20,147.62457275390625,148.74000549316406,148.86000061035156,146.74000549316406,148.0,21311500
2024-03-21,146.49314880371094,147.60000610351562,150.3699951171875,146.89999389648438,149.47000122070312,24755600
2024-03-22,149.6393585205078,150.77000427246094,151.5800018310547,148.97999572753906,149.1199951171875,29211800
2024-03-25,148.94464111328125,150.07000732421875,150.3800048828125,147.82000732421875,149.94000244140625,19229300
